"Relatório de Disponibilidade - Unidades (REMEP-FLN, PoP-SC/RNP e PARCs)",,,,,,,,,,,,,
Relatório Mensal de Disponibilidade das Unidades Organizacionais,,,,,,,,,,,,,
Período de 01/09/2025 a 30/09/2025,,,,,,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
Serviço","Mantenedor do 
Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses"
94,UFSC,Centro de Ciências Agrárias,Disponibilidade UFSC CCA,REMEP-FLN,Conectividade à REMEP,#7305,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9902
95,UFSC,Cidade das Abelhas,Disponibilidade UFSC Cidade das Abelhas,REMEP-FLN,Conectividade à REMEP,#7350,REMEP-FLN,99.6000,99.8500,100.0000,99.9751,100.0000,99.9732
96,UFSC,CocreationLAB (Campeche),Disponibilidade UFSC CocreationLAB,REMEP-FLN,Conectividade à REMEP,#7325,REMEP-FLN,99.6000,99.8500,100.0000,99.9246,100.0000,99.9019
97,UFSC,Curitibanos (Sede),Disponibilidade Unidade (Falha):  UFSC Curitibanos SEDE,RNP,Conectividade via RNP e RCT,"3632, 8008",-,99.6000,99.8500,100.0000,99.9996,100.0000,99.6854
98,UFSC,Data Center SETIC,Disponibilidade UFSC Florianópolis,REMEP-FLN,Conectividade à REMEP,#7331,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
99,UFSC,Fazenda Ressacada,Disponibilidade UFSC Ressacada,REMEP-FLN,Conectividade à REMEP,#7304,REMEP-FLN,99.6000,99.8500,100.0000,99.9994,100.0000,99.9985
100,UFSC,Fotovoltaica,Disponibilidade UFSC Fotovoltaica,REMEP-FLN,Conectividade à REMEP,#7319,REMEP-FLN,99.6000,99.8500,100.0000,99.9993,100.0000,99.9812
101,UFSC,Joinville,Disponibilidade Unidade:  UFSC Joinville,"RCT,RNP",Conectado via RNP e RCT,"3730, 8106",-,99.6000,99.8500,100.0000,99.9998,100.0000,99.9964
102,UFSC,Laboratório de Biologia e Cultivo de Peixes de Água Doce,Disponibilidade UFSC LAPAD,REMEP-FLN,Conectividade à REMEP,#7303,REMEP-FLN,99.6000,99.8500,100.0000,99.9376,100.0000,99.9108
103,UFSC,Laboratório de Camarões Marinhos,Disponibilidade UFSC LCM,REMEP-FLN,Conectividade à REMEP,#7338,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,99.9931,99.9728
104,UFSC,Moradia Estudantil,Disponibilidade UFSC Moradia Estudantil,REMEP-FLN,Conectividade à REMEP,#7364,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9905
105,UFSC,Núcleo de Estudos em Patologia Aquícola,Disponibilidade UFSC NEPAQ,REMEP-FLN,Conectividade à REMEP,#7348,REMEP-FLN,99.2000,99.6000,100.0000,99.9749,100.0000,99.9333
106,UFSC,Reitoria II,Disponibilidade UFSC Reitoria 2,REMEP-FLN,Conectividade à REMEP,#7365,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9606
107,UFSC,Sala Cofre,Disponibilidade UFSC Sala Cofre,REMEP-FLN,Conectividade à REMEP,#7300,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
